sku,url_key,attribute_set_code,product_type,product_websites,product_online,categories,vendor,visibility,name,description,producttype,screen,screen_resolution,cpu,ram,memory,vga,os,weightkg,price,accessories,qty,max_cart_qty,pin,base_image,small_image,thumbnail_image,additional_images
ge72mvr 7rg-16gb-256gb ssd +  1tb hdd,ge72mvr 7rg-16gb-256gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GE72MVR 7RG,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9kg,56367040,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MSI-2.1.jpg,MSI-2.1.jpg,MSI-2.1.jpg,MSI-2.2.jpg
ge73vr 7re-16gb-256gb ssd +  1tb hdd,ge73vr 7re-16gb-256gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GE73VR 7RE,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.8kg,52505523,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MSI-3.1.jpg,MSI-3.1.jpg,MSI-3.1.jpg,MSI-3.2.jpg
gl72m 7rdx-8gb-128gb ssd +  1tb hdd,gl72m 7rdx-8gb-128gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GL72M 7RDX,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7kg,30419867,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MSI-4.1.jpg,MSI-4.1.jpg,MSI-4.1.jpg,MSI-4.2.jpg
gp62m 7rex-16gb-256gb ssd +  1tb hdd,gp62m 7rex-16gb-256gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GP62M 7REX,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2kg,36087129,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MSI-5.1.jpg,MSI-5.1.jpg,MSI-5.1.jpg,MSI-5.2.jpg
gs63vr 7rg-16gb-256gb ssd +  2tb hdd,gs63vr 7rg-16gb-256gb ssd +  2tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GS63VR 7RG,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,1.8kg,62270439,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MSI-6.1.jpg,MSI-6.1.jpg,MSI-6.1.jpg,MSI-6.2.jpg
gs73vr 7rg-16gb-256gb ssd +  2tb hdd,gs73vr 7rg-16gb-256gb ssd +  2tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GS73VR 7RG,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43kg,68034934,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MSI-7.1.jpg,MSI-7.1.jpg,MSI-7.1.jpg,MSI-7.2.jpg
gt73evr 7re-16gb-512gb ssd +  1tb hdd,gt73evr 7re-16gb-512gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GT73EVR 7RE,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.14kg,69423969,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MSI-8.1.jpg,MSI-8.1.jpg,MSI-8.1.jpg,MSI-8.2.jpg
gt80s 6qf-074us-32gb-512gb ssd +  1tb hdd,gt80s 6qf-074us-32gb-512gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GT80S 6QF-074US,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,18.4,Full HD 1920x1080,Intel Core i7 6920HQ 2.9GHz,32GB,512GB SSD +  1TB HDD,Nvidia GTX 980 SLI,Windows 10,4.4kg,77758179,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MSI-9.1.jpg,MSI-9.1.jpg,MSI-9.1.jpg,MSI-9.2.jpg
ideapad 120s-14iap-4gb-64gb flash storage,ideapad 120s-14iap-4gb-64gb flash storage,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",IdeaPad 120S-14IAP,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44kg,6917394,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,lenovo-01.jpg,lenovo-01.jpg,lenovo-01.jpg,lenovo-02.jpg
ideapad 310-15isk-4gb-1tb hdd,ideapad 310-15isk-4gb-1tb hdd,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",Ideapad 310-15ISK,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,1.85kg,11526212,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,lenovo-03.jpg,lenovo-03.jpg,lenovo-03.jpg,lenovo-04.jpg
